,Unnamed: 0,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Weekly Hour,How Many New Clothes Monthly,How Long Internet Weekly Hours,Energy efficiency,Recycling,Cooking_With,CarbonEmission
0,0,overweight,female,pescatarian,daily,coal,public,,often,340.6747855385005,frequently,210,large,6.440539281906443,59.98261935755751,0.0,57.84648969541972,No,['Metal'],"['Stove', 'Oven']",2238
1,1,obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,168.39814938251976,rarely,9,extra large,3.6270760171597116,18.987724582762095,15.07756431854579,32.20340202533431,No,['Metal'],"['Stove', 'Microwave']",1892
2,2,overweight,male,omnivore,more frequently,wood,private,petrol,never,248.01985098675323,never,2472,small,5.024269603993162,44.89939390941166,0.0,104.30584157507496,Sometimes,['Metal'],"['Oven', 'Microwave']",2595
3,3,overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,205.60219908591156,rarely,74,medium,6.700415973672186,1.934604283556439,0.0,74.76846007475997,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1074
4,4,obese,female,vegetarian,daily,coal,private,diesel,often,211.1276566784959,very frequently,8457,large,4.175434061193533,53.67132080823191,2.7713638830666345,70.7618916336546,Yes,['Paper'],['Oven'],4743
5,5,overweight,male,vegetarian,less frequently,wood,public,,sometimes,253.78547543070525,frequently,658,large,7.286288471648316,99.18391088353052,10.577466375153314,90.45149043117728,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1647
6,6,underweight,female,vegan,less frequently,wood,private,hybrid,never,315.29969728965875,rarely,5363,medium,6.487668440504966,86.41780407228313,0.0,84.83624915914636,Sometimes,[],"['Grill', 'Airfryer']",1832
7,7,underweight,female,vegan,more frequently,coal,walk/bicycle,,sometimes,174.05472080004142,very frequently,54,extra large,9.748701361160112,73.43072426855717,16.363287463008447,112.0,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2322
8,8,overweight,male,omnivore,daily,wood,public,,never,104.72199363206627,frequently,1376,medium,4.830060843331519,67.91532303925699,9.570183666334842,78.71110392466029,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",2494
9,9,underweight,female,pescatarian,daily,wood,public,,often,377.5816332955607,rarely,440,extra large,8.144437435571625,71.93477013589325,0.0,34.05291423330018,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1178
