,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
0,0,0,2,3,0,0,4,0,4,2
1,0,0,2,3,0,5,4,0,1,2
2,0,0,2,3,0,5,0,0,1,2
3,0,0,1,2,0,1,4,2,7,0
4,0,1,2,0,4,3,2,1,6,4
5,0,0,2,3,0,0,0,0,1,2
6,0,1,2,3,4,3,2,4,5,8
7,0,0,2,3,0,0,4,0,1,2
8,0,0,1,2,0,5,4,0,1,2
9,0,1,0,1,4,3,2,4,6,6
10,0,0,2,3,0,0,3,0,4,2
11,0,1,2,1,4,3,2,3,6,4
12,0,1,2,1,4,3,2,3,6,4
13,0,1,2,3,4,3,2,3,6,4
14,0,1,2,3,4,3,2,3,6,4
15,0,1,0,1,1,2,6,5,2,7
16,0,0,2,3,4,0,2,0,5,2
17,0,1,0,1,4,3,2,3,6,4
18,0,1,2,0,3,5,2,3,1,8
19,0,0,1,2,2,1,3,3,8,1
20,0,0,1,2,2,4,3,3,8,1
21,0,1,0,1,1,2,6,5,2,7
22,0,1,0,0,3,5,0,1,1,3
23,0,1,0,0,3,5,0,1,3,1
24,0,1,0,0,3,5,0,1,3,1
25,0,1,2,3,4,5,2,3,5,8
26,0,1,2,3,4,5,2,3,5,8
27,0,1,0,1,1,2,6,5,2,7
28,0,0,1,2,0,5,4,0,1,2
29,0,1,0,0,3,5,0,1,3,3
30,0,1,0,0,3,5,0,1,3,3
31,0,0,2,3,4,3,5,3,1,4
32,0,0,2,3,4,0,5,7,4,4
33,0,1,0,1,1,2,6,5,2,7
34,0,0,1,2,2,1,3,2,3,1
35,0,1,0,0,3,4,1,6,8,9
36,0,1,0,0,3,4,1,6,8,9
37,0,1,0,0,3,4,1,6,3,9
38,0,1,0,0,3,4,0,1,3,1
39,0,0,1,2,2,1,3,4,5,8
40,0,0,1,2,2,1,4,2,7,0
41,0,1,2,3,4,0,5,7,4,4
42,0,1,2,3,4,0,5,7,4,4
43,0,1,2,3,4,0,5,7,4,4
44,0,1,2,3,4,0,5,7,4,4
45,0,0,1,2,2,1,3,2,3,1
46,0,0,1,2,2,1,3,2,7,0
47,0,1,2,3,4,5,0,1,0,3
48,0,0,1,2,2,5,3,1,3,2
49,0,0,1,2,2,5,3,1,1,2
50,0,0,1,0,2,5,0,1,1,2
51,0,1,0,1,1,2,6,5,2,7
52,0,0,2,3,0,0,4,0,5,2
53,0,1,2,3,4,3,0,1,6,4
54,0,1,2,3,4,3,0,1,6,4
55,0,1,0,0,4,3,0,1,0,4
56,0,1,0,0,4,3,0,1,0,4
57,0,1,1,0,3,4,1,6,8,9
58,0,1,0,0,3,5,0,4,0,3
59,0,1,2,1,4,3,5,7,6,4
60,0,1,2,1,4,3,5,7,6,4
61,0,1,0,1,1,2,6,5,2,7
62,0,1,0,0,4,3,0,1,6,4
63,0,1,0,0,3,3,0,1,6,4
64,0,0,2,3,4,3,2,3,6,4
65,0,1,2,3,4,5,0,1,1,3
66,0,1,0,1,4,3,2,7,6,4
67,0,0,2,3,4,0,5,7,4,6
68,0,1,2,3,4,3,5,7,4,6
69,0,1,2,3,4,3,5,7,4,6
70,0,1,0,1,4,3,2,7,0,4
71,0,1,2,3,2,3,2,4,5,8
72,0,1,0,0,3,4,1,6,8,9
73,0,1,0,0,3,4,1,6,3,9
74,0,1,0,0,3,2,2,4,5,8
75,0,1,0,1,3,3,2,4,0,4
76,0,0,2,3,0,0,5,0,4,5
77,0,0,2,3,4,3,2,7,5,8
78,0,0,2,3,4,0,2,0,5,8
79,0,0,2,3,4,3,5,7,4,4
80,0,0,2,3,4,0,5,0,4,5
81,0,0,2,3,4,3,5,7,4,4
82,0,1,0,1,1,2,6,5,2,7
83,0,0,1,2,0,5,4,0,5,2
84,0,1,0,0,3,5,0,1,3,4
85,0,1,0,0,3,3,2,4,5,8
86,0,1,0,3,4,3,2,4,5,6
87,0,1,0,3,4,3,2,4,5,6
88,0,1,2,3,4,0,2,4,4,6
89,0,0,1,2,0,0,4,0,7,5
90,0,0,2,0,0,5,0,1,1,3
91,0,1,2,0,3,5,0,1,0,3
92,0,1,2,0,3,5,0,1,0,3
